transaction_id,data,valor,hora,categoria,categoria_cod,qtd_transacoes_24h,is_fraud
TXN_NOV_000000,2025-11,410.27532479265966,19,eletronicos,7,4,0
TXN_NOV_000001,2025-11,422.8361210648104,20,livros,8,4,0
TXN_NOV_000002,2025-11,142.01726740597996,16,alimentacao,1,2,0
TXN_NOV_000003,2025-11,270.36207303717316,14,vestuario,4,2,0
TXN_NOV_000004,2025-11,11636.644920335919,8,transferencia,14,21,1
TXN_NOV_000005,2025-11,364.7317793032925,19,assinatura,9,1,0
TXN_NOV_000006,2025-11,372.669193932918,22,livros,8,2,0
TXN_NOV_000007,2025-11,158.25104788355364,16,vestuario,4,2,0
TXN_NOV_000008,2025-11,150.7329783094112,16,restaurante,5,3,0
TXN_NOV_000009,2025-11,356.2074106269746,19,eletronicos,7,1,0
TXN_NOV_000010,2025-11,267.317714878708,14,supermercado,10,3,0
TXN_NOV_000011,2025-11,2800.0,2,eletronicos,7,9,1
TXN_NOV_000012,2025-11,935.330815795083,18,supermercado,10,4,0
TXN_NOV_000013,2025-11,385.39283205148007,16,restaurante,5,1,0
TXN_NOV_000014,2025-11,526.8293642311721,17,vestuario,4,3,0
TXN_NOV_000015,2025-11,4802.222405196437,15,pix,13,14,1
TXN_NOV_000016,2025-11,7087.793316082889,14,joias,11,21,1
TXN_NOV_000017,2025-11,37.67239701104531,17,transporte,3,1,0
TXN_NOV_000018,2025-11,299.2368197425159,20,assinatura,9,3,0
TXN_NOV_000019,2025-11,186.75977469907593,14,vestuario,4,2,0
TXN_NOV_000020,2025-11,259.7443999912394,23,livros,8,1,0
TXN_NOV_000021,2025-11,186.88567827790132,22,livros,8,1,0
TXN_NOV_000022,2025-11,267.28234988426766,19,livros,8,2,0
TXN_NOV_000023,2025-11,2800.0,22,eletronicos,7,13,1
TXN_NOV_000024,2025-11,132.72321743588265,10,alimentacao,1,1,0
TXN_NOV_000025,2025-11,100.0,19,lazer,6,2,0
TXN_NOV_000026,2025-11,104.53264132594887,15,farmacia,2,1,0
TXN_NOV_000027,2025-11,259.16885566630447,23,livros,8,3,0
TXN_NOV_000028,2025-11,156.2067484054766,15,transporte,3,2,0
TXN_NOV_000029,2025-11,114.00857802660167,12,alimentacao,1,2,0
TXN_NOV_000030,2025-11,6994.736296211594,14,transferencia,14,21,1
TXN_NOV_000031,2025-11,167.01270469685394,12,transporte,3,1,0
TXN_NOV_000032,2025-11,102.19267879832782,9,farmacia,2,2,0
TXN_NOV_000033,2025-11,173.61966890014554,21,eletronicos,7,4,0
TXN_NOV_000034,2025-11,416.68038479441344,12,vestuario,4,4,0
TXN_NOV_000035,2025-11,34.58679846469633,13,transporte,3,2,0
TXN_NOV_000036,2025-11,69.42704286659007,16,alimentacao,1,2,0
TXN_NOV_000037,2025-11,3619.7472093459583,12,pix,13,22,1
TXN_NOV_000038,2025-11,108.70542612270809,22,livros,8,6,0
TXN_NOV_000039,2025-11,466.75099013924654,17,restaurante,5,5,0
TXN_NOV_000040,2025-11,507.3460885361458,17,lazer,6,4,0
TXN_NOV_000041,2025-11,2870.427554918669,22,joias,11,13,1
TXN_NOV_000042,2025-11,445.4261881591686,16,vestuario,4,5,0
TXN_NOV_000043,2025-11,117.72821655496563,15,alimentacao,1,1,0
TXN_NOV_000044,2025-11,7846.570846683136,10,joias,11,25,1
TXN_NOV_000045,2025-11,12233.984083077181,15,pix,13,25,1
TXN_NOV_000046,2025-11,377.27112582403146,19,assinatura,9,1,0
TXN_NOV_000047,2025-11,129.02319277727952,17,farmacia,2,1,0
TXN_NOV_000048,2025-11,589.7555734896616,23,eletronicos,7,1,0
TXN_NOV_000049,2025-11,8846.593153257256,8,joias,11,28,1
TXN_NOV_000050,2025-11,1152.4029144145663,17,vestuario,4,2,0
TXN_NOV_000051,2025-11,215.64516170324163,23,eletronicos,7,1,0
TXN_NOV_000052,2025-11,311.1995618627323,20,livros,8,1,0
TXN_NOV_000053,2025-11,1155.4990033136166,15,lazer,6,2,0
TXN_NOV_000054,2025-11,188.33554802711427,20,assinatura,9,2,0
TXN_NOV_000055,2025-11,210.09942627443334,16,lazer,6,2,0
TXN_NOV_000056,2025-11,276.4300708595179,22,assinatura,9,2,0
TXN_NOV_000057,2025-11,3500.0,11,transferencia,14,27,1
TXN_NOV_000058,2025-11,4000.0,18,viagem,12,30,1
